doc_id|term_str|n
0|1|2
0|2|2
0|3|3
0|4|1
0|5|1
0|513|1
0|58|1
0|59names|1
0|6|8
0|60of|1
0|64|1
0|7|2
0|8|1
0|9|4
0|a|7
0|abandoned|1
0|abased|1
0|above|2
0|accepted|1
0|according|1
0|acquiesced|1
0|active|2
0|advantageous|3
0|all|5
0|aloft|1
0|also|1
0|always|3
0|and|36
0|andthe|1
0|appearing|2
0|appears|2
0|appendix|1
0|appendixes|1
0|application|2
0|apprehensive|1
0|arbitrary|1
0|are|7
0|as|14
0|ascribe|1
0|assigned|3
0|assigns|1
0|at|1
0|attributes|3
0|b|1
0|based|1
0|be|16
0|been|3
0|being|1
0|benevolence|1
0|beyond|1
0|both|1
0|bow|1
0|but|5
0|by|10
0|c|4
0|called|3
0|came|1
0|can|1
0|careful|1
0|case|1
0|changes|1
0|characteristic|1
0|characters|1
0|chinese|2
0|ching|3
0|combination|1
0|commencing|2
0|confucius|2
0|consists|2
0|constitutes|1
0|containing|1
0|contains|2
0|correct|2
0|corresponding|1
0|coupled|1
0|creature|1
0|dangerous|1
0|day|1
0|deep|2
0|denote|1
0|describe|1
0|deservedly|1
0|determined|1
0|diagrams|1
0|dignity|1
0|display|1
0|disport|1
0|distinction|1
0|divest|1
0|divided|4
0|divination|1
0|does|1
0|doing|1
0|double|1
0|down|1
0|dragon|7
0|dragons|2
0|drawn|1
0|duke|4
0|each|2
0|earliest|1
0|effect|1
0|either|1
0|emblem|2
0|emblematic|1
0|employed|1
0|entire|1
0|entirely|1
0|errataindexnext|1
0|especially|1
0|evening|1
0|exceeding|1
0|exhibiting|1
0|explaining|2
0|explanation|5
0|explanations|1
0|explanatory|1
0|field|1
0|fifth|1
0|figure|3
0|figures|1
0|find|1
0|firm|2
0|first|3
0|fly|1
0|followed|1
0|for|7
0|force|2
0|form|1
0|fortune|2
0|found|1
0|four|3
0|fourth|1
0|from|4
0|further|1
0|fûhsî|1
0|give|3
0|given|3
0|going|1
0|gone|1
0|good|2
0|great|6
0|greatly|1
0|has|3
0|haughtiness|1
0|have|5
0|he|4
0|heads|2
0|heaven|1
0|held|1
0|here|2
0|hexagram|4
0|hexagrams|3
0|hexagramsacred|1
0|hid|1
0|high|1
0|highest|1
0|him|1
0|his|2
0|home|1
0|host|2
0|however|2
0|hsiang|1
0|hsî|1
0|humility|1
0|i|5
0|icirc|1
0|if|2
0|ii|2
0|in|25
0|indicated|1
0|individual|1
0|inner|1
0|instead|1
0|intermediate|1
0|interpretation|1
0|interpretations|1
0|introduced|1
0|is|18
0|it|12
0|ithe|1
0|its|8
0|itself|2
0|iv|2
0|jargon|1
0|justification|1
0|kept|1
0|khien|3
0|khwăn|3
0|king|5
0|knowledge|1
0|kâu|4
0|kû|1
0|land|1
0|leaping|1
0|least|1
0|legge|1
0|limits|2
0|line|6
0|lines|11
0|looking|1
0|lower|1
0|lowest|2
0|lying|1
0|made|1
0|man|7
0|manipulation|1
0|many|1
0|mark|1
0|meaning|3
0|meet|2
0|merely|1
0|mistake|2
0|moral|1
0|must|1
0|names|1
0|narrative|1
0|nature|1
0|new|2
0|next|2
0|nine|11
0|no|2
0|nomenclature|1
0|not|5
0|notices|1
0|now|1
0|number|4
0|numbered|1
0|numbers|3
0|occasion|2
0|of|48
0|off|1
0|often|1
0|old|4
0|on|4
0|one|4
0|only|3
0|opposite|1
0|or|10
0|order|1
0|originating|1
0|other|2
0|our|1
0|outer|1
0|own|1
0|pages|1
0|paragraph|4
0|paragraphs|1
0|penetrating|2
0|place|1
0|portion|1
0|position|1
0|possible|1
0|preferred|1
0|present|1
0|previous|1
0|principles|1
0|process|1
0|proper|3
0|proposed|1
0|propriety|1
0|pulled|1
0|purpose|1
0|reconcile|1
0|relax|1
0|repeated|1
0|repentance|2
