|doc_id|term_str|n|sentiment|weighted_sentiment
0|0|1|2|0.0|0.0
1|0|2|2|0.0|0.0
2|0|3|3|0.0|0.0
3|0|4|1|0.0|0.0
4|0|5|1|0.0|0.0
5|0|513|1|0.0|0.0
6|0|58|1|0.0|0.0
7|0|59names|1|0.0|0.0
8|0|6|8|0.0|0.0
9|0|60of|1|0.0|0.0
10|0|64|1|0.0|0.0
11|0|7|2|0.0|0.0
12|0|8|1|0.0|0.0
13|0|9|4|0.0|0.0
14|0|a|7|0.0|0.0
15|0|abandoned|1|-0.4588|-0.4588
16|0|abased|1|0.0|0.0
17|0|above|2|0.0|0.0
18|0|accepted|1|0.2732|0.2732
19|0|according|1|0.0|0.0
20|0|acquiesced|1|0.0|0.0
21|0|active|2|0.4019|0.8038
22|0|advantageous|3|0.3612|1.0836000000000001
23|0|all|5|0.0|0.0
24|0|aloft|1|0.0|0.0
25|0|also|1|0.0|0.0
26|0|always|3|0.0|0.0
27|0|and|36|0.0|0.0
28|0|andthe|1|0.0|0.0
29|0|appearing|2|0.0|0.0
30|0|appears|2|0.0|0.0
31|0|appendix|1|0.0|0.0
32|0|appendixes|1|0.0|0.0
33|0|application|2|0.0|0.0
34|0|apprehensive|1|0.0|0.0
35|0|arbitrary|1|0.0|0.0
36|0|are|7|0.0|0.0
37|0|as|14|0.0|0.0
38|0|ascribe|1|0.0|0.0
39|0|assigned|3|0.0|0.0
40|0|assigns|1|0.0|0.0
41|0|at|1|0.0|0.0
42|0|attributes|3|0.0|0.0
43|0|b|1|0.0|0.0
44|0|based|1|0.0|0.0
45|0|be|16|0.0|0.0
46|0|been|3|0.0|0.0
47|0|being|1|0.0|0.0
48|0|benevolence|1|0.4019|0.4019
49|0|beyond|1|0.0|0.0
50|0|both|1|0.0|0.0
51|0|bow|1|0.0|0.0
52|0|but|5|0.0|0.0
53|0|by|10|0.0|0.0
54|0|c|4|0.0|0.0
55|0|called|3|0.0|0.0
56|0|came|1|0.0|0.0
57|0|can|1|0.0|0.0
58|0|careful|1|0.1531|0.1531
59|0|case|1|0.0|0.0
60|0|changes|1|0.0|0.0
61|0|characteristic|1|0.0|0.0
62|0|characters|1|0.0|0.0
63|0|chinese|2|0.0|0.0
64|0|ching|3|0.0|0.0
65|0|combination|1|0.0|0.0
66|0|commencing|2|0.0|0.0
67|0|confucius|2|0.0|0.0
68|0|consists|2|0.0|0.0
69|0|constitutes|1|0.0|0.0
70|0|containing|1|0.0|0.0
71|0|contains|2|0.0|0.0
72|0|correct|2|0.0|0.0
73|0|corresponding|1|0.0|0.0
74|0|coupled|1|0.0|0.0
75|0|creature|1|0.0|0.0
76|0|dangerous|1|-0.4767|-0.4767
77|0|day|1|0.0|0.0
78|0|deep|2|0.0|0.0
79|0|denote|1|0.0|0.0
80|0|describe|1|0.0|0.0
81|0|deservedly|1|0.0|0.0
82|0|determined|1|0.34|0.34
83|0|diagrams|1|0.0|0.0
84|0|dignity|1|0.4019|0.4019
85|0|display|1|0.0|0.0
86|0|disport|1|0.0|0.0
87|0|distinction|1|0.0|0.0
88|0|divest|1|0.0|0.0
89|0|divided|4|0.0|0.0
90|0|divination|1|0.4019|0.4019
91|0|does|1|0.0|0.0
92|0|doing|1|0.0|0.0
93|0|double|1|0.0|0.0
94|0|down|1|0.0|0.0
95|0|dragon|7|0.0|0.0
96|0|dragons|2|0.0|0.0
97|0|drawn|1|0.0|0.0
98|0|duke|4|0.0|0.0
99|0|each|2|0.0|0.0
100|0|earliest|1|0.0|0.0
101|0|effect|1|0.0|0.0
102|0|either|1|0.0|0.0
103|0|emblem|2|0.0|0.0
104|0|emblematic|1|0.0|0.0
105|0|employed|1|0.0|0.0
106|0|entire|1|0.0|0.0
107|0|entirely|1|0.0|0.0
108|0|errataindexnext|1|0.0|0.0
109|0|especially|1|0.0|0.0
110|0|evening|1|0.0|0.0
111|0|exceeding|1|0.0|0.0
112|0|exhibiting|1|0.0|0.0
113|0|explaining|2|0.0|0.0
114|0|explanation|5|0.0|0.0
115|0|explanations|1|0.0|0.0
116|0|explanatory|1|0.0|0.0
