term_str|n|p|i|stop|porter_stem|max_pos|max_pos_group|dfidf|ngram_length|sentiment
the|4974|0.09318445801641126|3.4237668380327877|1|the|DT|DT|0.0|1|0.0
of|2085|0.03906103638203005|4.678125961917669|1|of|IN|IN|0.0|1|0.0
and|1844|0.034546067668327775|4.855334689820356|1|and|CC|CC|0.0|1|0.0
is|1406|0.026340439881599162|5.246576751177159|1|is|VBZ|VB|0.0|1|0.0
in|1337|0.025047772490539175|5.319173880156341|1|in|IN|IN|0.0|1|0.0
to|1230|0.023043201318895427|5.439515030023092|1|to|TO|TO|0.0|1|0.0
be|1013|0.01897785604556184|5.719539171448556|1|be|VB|VB|0.0|1|0.0
will|764|0.01431301285173667|6.1265288022139455|1|will|MD|MD|0.0|1|0.0
a|714|0.013376297350968564|6.224177366220594|1|a|DT|DT|0.0|1|0.0
its|660|0.012364644610139008|6.337635416003878|1|it|PRP$|PR|0.0|1|0.0
line|626|0.011727678069616696|6.413938783317076|0|line|NN|NN|8.935213806521043|1|0.0
it|607|0.011371726179324816|6.458404923994012|1|it|PRP|PR|0.0|1|0.0
his|590|0.011053242909063659|6.499386486000491|1|hi|PRP$|PR|0.0|1|0.0
subject|578|0.010828431188879314|6.529031947749015|0|subject|NN|NN|8.277643822801627|1|0.0
he|528|0.009891715688111207|6.659563510891241|1|he|PRP|PR|0.0|1|0.0
but|479|0.008973734497358462|6.800075784513514|1|but|CC|CC|0.0|1|0.0
there|440|0.00824309640675934|6.922597916725034|1|there|EX|EX|0.0|1|0.0
that|421|0.007887144516467458|6.986281207183298|1|that|IN|IN|0.0|1|0.0
with|369|0.006912960395668627|7.176480624189298|1|with|IN|IN|0.0|1|0.0
shows|364|0.006819288845591817|7.196162990050998|0|show|VBZ|VB|5.313398609424454|1|0.0
as|333|0.006238525235115591|7.324579263178432|1|as|IN|IN|0.0|1|0.0
by|332|0.006219790925100228|7.32891819890277|1|by|IN|IN|0.0|1|0.0
for|331|0.006201056615084867|7.333270223442477|1|for|IN|IN|0.0|1|0.0
not|324|0.006069916444977332|7.364107627365069|1|not|RB|RB|0.0|1|0.0
i|292|0.005470418524485743|7.514133071369677|1|i|PRP|PR|0.0|1|0.0
place|287|0.005376746974408933|7.539050703574007|0|place|NN|NN|4.205152272227522|1|0.0
good|258|0.004833451983963431|7.69273037482644|0|good|JJ|JJ|3.7395870854653595|1|0.4404
ching|254|0.004758514743901982|7.715272943477529|0|ching|NNP|NN|3.656537296893544|1|0.0
which|251|0.004702311813855896|7.732414076298922|1|which|WDT|WD|0.0|1|0.0
divided|251|0.004702311813855896|7.732414076298922|0|divid|VBD|VB|3.576570394855701|1|0.0
strong|249|0.004664843193825171|7.743955698181614|0|strong|JJ|JJ|3.669823013558178|1|0.5106
undivided|231|0.004327625613548653|7.852208588833637|0|undivid|VBD|VB|3.2923324800897773|1|0.0
from|226|0.004233954063471842|7.883778667834506|1|from|IN|IN|0.0|1|0.0
him|219|0.004102813893364307|7.9291705706485205|1|him|PRP|PR|0.0|1|0.0
no|209|0.003915470793210686|7.996598498168812|1|no|DT|DT|0.0|1|-0.296
on|209|0.003915470793210686|7.996598498168812|1|on|IN|IN|0.0|1|0.0
weak|206|0.0038592678631645997|8.017457103066477|0|weak|JJ|JJ|3.085761093685222|1|-0.4404
six|203|0.003803064933118513|8.038621713064519|0|six|NNP|NN|0.0|1|0.0
2|203|0.003803064933118513|8.038621713064519|0|2|CD|CD|0.0|1|0.0
has|202|0.003784330623103151|8.0457461474979|1|ha|VBZ|VB|0.0|1|0.0
nine|200|0.003746862003072427|8.06010144047497|0|nine|NNP|NN|0.0|1|0.0
5|198|0.0037093933830417026|8.074601010170085|0|5|CD|CD|0.0|1|0.0
this|191|0.0035782532129341677|8.126528802213945|1|thi|DT|DT|0.0|1|0.0
or|191|0.0035782532129341677|8.126528802213945|1|or|CC|CC|0.0|1|0.0
4|185|0.003465847352841995|8.172576169733382|0|4|CD|CD|0.0|1|0.0
