doc_id|para_num|sent_num|token_num|token_str|term_str|pos|pos_group
0|1|0|0|Explanation|explanation|NN|NN
0|1|0|1|of|of|IN|IN
0|1|0|2|the|the|DT|DT
0|1|0|3|entire|entire|JJ|JJ
0|1|0|4|figure|figure|NN|NN
0|1|0|5|by|by|IN|IN
0|1|0|6|king|king|VBG|VB
0|1|0|7|Wăn|wăn|NNP|NN
0|2|0|0|Khien|khien|NNP|NN
0|2|0|2|represents|represents|VBZ|VB
0|2|0|4|what|what|WP|WP
0|2|0|5|is|is|VBZ|VB
0|2|0|6|great|great|JJ|JJ
0|2|0|7|and|and|CC|CC
0|2|0|8|originating|originating|VBG|VB
0|2|0|10|penetrating|penetrating|VBG|VB
0|2|0|12|advantageous|advantageous|JJ|JJ
0|2|0|14|correct|correct|NN|NN
0|2|0|15|and|and|CC|CC
0|2|0|16|firm|firm|JJ|JJ
0|3|0|0|Explanation|explanation|NNP|NN
0|3|0|1|of|of|IN|IN
0|3|0|2|the|the|DT|DT
0|3|0|3|separate|separate|JJ|JJ
0|3|0|4|lines|lines|NNS|NN
0|3|0|5|by|by|IN|IN
0|3|0|6|the|the|DT|DT
0|3|0|7|duke|duke|NN|NN
0|3|0|8|of|of|IN|IN
0|3|0|9|Kâu|kâu|NNP|NN
0|4|0|0|1|1|CD|CD
0|4|1|0|In|in|IN|IN
0|4|1|1|the|the|DT|DT
0|4|1|2|first|first|JJ|JJ
0|4|1|4|or|or|CC|CC
0|4|1|5|lowest|lowest|JJS|JJ
0|4|1|7|NINE|nine|RB|RB
0|4|1|9|undivided|undivided|JJ|JJ
0|4|1|12|we|we|PRP|PR
0|4|1|13|see|see|VBP|VB
0|4|1|14|its|its|PRP$|PR
0|4|1|15|subject|subject|JJ|JJ
0|4|1|16|as|as|IN|IN
0|4|1|18|the|the|DT|DT
0|4|1|19|dragon|dragon|NN|NN
0|4|1|20|lying|lying|VBG|VB
0|4|1|21|hid|hid|NN|NN
0|4|1|23|in|in|IN|IN
0|4|1|24|the|the|DT|DT
0|4|1|25|deep|deep|JJ|JJ
0|4|2|0|It|it|PRP|PR
0|4|2|1|is|is|VBZ|VB
0|4|2|2|not|not|RB|RB
0|4|2|3|the|the|DT|DT
0|4|2|4|time|time|NN|NN
0|4|2|5|for|for|IN|IN
0|4|2|6|active|active|JJ|JJ
0|4|2|7|doing|doing|VBG|VB
0|5|0|0|2|2|CD|CD
0|5|1|0|In|in|IN|IN
0|5|1|1|the|the|DT|DT
0|5|1|2|second|second|JJ|JJ
0|5|1|3|NINE|nine|NNP|NN
0|5|1|5|undivided|undivided|VBD|VB
0|5|1|8|we|we|PRP|PR
0|5|1|9|see|see|VBP|VB
0|5|1|10|its|its|PRP$|PR
0|5|1|11|subject|subject|JJ|JJ
0|5|1|12|as|as|IN|IN
0|5|1|14|the|the|DT|DT
0|5|1|15|dragon|dragon|NN|NN
0|5|1|16|appearing|appearing|VBG|VB
0|5|1|17|in|in|IN|IN
0|5|1|18|the|the|DT|DT
0|5|1|19|field|field|NN|NN
0|5|2|0|It|it|PRP|PR
0|5|2|1|will|will|MD|MD
0|5|2|2|be|be|VB|VB
0|5|2|3|advantageous|advantageous|JJ|JJ
0|5|2|4|to|to|TO|TO
0|5|2|5|meet|meet|VB|VB
0|5|2|6|with|with|IN|IN
0|5|2|7|the|the|DT|DT
0|5|2|8|great|great|JJ|JJ
0|5|2|9|man|man|NN|NN
0|6|0|0|3|3|CD|CD
0|6|1|0|In|in|IN|IN
0|6|1|1|the|the|DT|DT
0|6|1|2|third|third|JJ|JJ
0|6|1|3|NINE|nine|NNP|NN
0|6|1|5|undivided|undivided|VBD|VB
0|6|1|8|we|we|PRP|PR
0|6|1|9|see|see|VBP|VB
0|6|1|10|its|its|PRP$|PR
0|6|1|11|subject|subject|JJ|JJ
0|6|1|12|as|as|IN|IN
0|6|1|14|the|the|DT|DT
0|6|1|15|superior|superior|JJ|JJ
0|6|1|16|man|man|NN|NN
0|6|1|17|active|active|JJ|JJ
